fecha,cod,prov,lng,lat,paro
2019-5,37,Salamanca,-6.066,40.805,22214
2019-5,49,Zamora,-5.979,41.727,11492
2019-4,40,Segovia,-4.055,41.171,6900
2019-4,49,Zamora,-5.979,41.727,11711
2019-4,05,Ávila,-4.946,40.571,11296
2019-4,34,Palencia,-4.535,42.37,9001
2019-4,37,Salamanca,-6.066,40.805,22685
2019-4,47,Valladolid,-4.847,41.634,31039
2019-4,09,Burgos,-3.586,42.367,18384
2019-4,24,León,-5.841,42.62,30497
2019-4,42,Soria,-2.589,41.621,3580
2019-4,07,Castilla León,-4.397,41.835,145093
2019-3,24,León,-5.841,42.62,31156
2019-3,34,Palencia,-4.535,42.37,9277
2019-3,37,Salamanca,-6.066,40.805,23405
2019-3,40,Segovia,-4.055,41.171,7105
2019-3,05,Ávila,-4.946,40.571,11508
2019-3,09,Burgos,-3.586,42.367,18984
2019-3,42,Soria,-2.589,41.621,3736
2019-3,47,Valladolid,-4.847,41.634,31622
2019-3,49,Zamora,-5.979,41.727,11974
2019-3,07,Castilla León,-4.397,41.835,148767
2019-2,24,León,-5.841,42.62,31894
2019-2,40,Segovia,-4.055,41.171,7150
2019-2,42,Soria,-2.589,41.621,3759
2019-2,07,Castilla León,-4.397,41.835,151065
2019-2,05,Ávila,-4.946,40.571,11685
2019-2,47,Valladolid,-4.847,41.634,31817
2019-2,09,Burgos,-3.586,42.367,19368
2019-2,34,Palencia,-4.535,42.37,9574
2019-2,37,Salamanca,-6.066,40.805,23680
2019-2,49,Zamora,-5.979,41.727,12138
2019-1,09,Burgos,-3.586,42.367,19328
2019-1,24,León,-5.841,42.62,31898
2019-1,42,Soria,-2.589,41.621,3756
2019-1,05,Ávila,-4.946,40.571,11850
2019-1,37,Salamanca,-6.066,40.805,23558
2019-1,49,Zamora,-5.979,41.727,12221
2019-1,07,Castilla León,-4.397,41.835,151328
2019-1,34,Palencia,-4.535,42.37,9755
2019-1,40,Segovia,-4.055,41.171,7218
2019-1,47,Valladolid,-4.847,41.634,31744
2018-12,05,Ávila,-4.946,40.571,11566
2018-12,09,Burgos,-3.586,42.367,18855
2018-12,47,Valladolid,-4.847,41.634,31286
2018-12,49,Zamora,-5.979,41.727,11848
2018-12,07,Castilla León,-4.397,41.835,147365
2018-12,37,Salamanca,-6.066,40.805,23037
2018-12,40,Segovia,-4.055,41.171,7006
2018-12,24,León,-5.841,42.62,30418
2018-12,34,Palencia,-4.535,42.37,9602
2018-12,42,Soria,-2.589,41.621,3747
2018-11,37,Salamanca,-6.066,40.805,23444
2018-11,09,Burgos,-3.586,42.367,19090
2018-11,34,Palencia,-4.535,42.37,9378
2018-11,47,Valladolid,-4.847,41.634,30972
2018-11,05,Ávila,-4.946,40.571,11615
2018-11,24,León,-5.841,42.62,30618
2018-11,40,Segovia,-4.055,41.171,6948
2018-11,42,Soria,-2.589,41.621,3597
2018-11,49,Zamora,-5.979,41.727,11818
2018-11,07,Castilla León,-4.397,41.835,147480
2018-10,37,Salamanca,-6.066,40.805,23489
2018-10,42,Soria,-2.589,41.621,3453
2018-10,47,Valladolid,-4.847,41.634,31741
2018-10,49,Zamora,-5.979,41.727,11637
2018-10,05,Ávila,-4.946,40.571,11483
2018-10,24,León,-5.841,42.62,30281
2018-10,09,Burgos,-3.586,42.367,18992
2018-10,34,Palencia,-4.535,42.37,9534
2018-10,40,Segovia,-4.055,41.171,6744
2018-10,07,Castilla León,-4.397,41.835,147354
2018-9,05,Ávila,-4.946,40.571,10972
2018-9,09,Burgos,-3.586,42.367,18015
2018-9,40,Segovia,-4.055,41.171,6607
2018-9,34,Palencia,-4.535,42.37,9313
2018-9,42,Soria,-2.589,41.621,3275
2018-9,47,Valladolid,-4.847,41.634,31386
2018-9,49,Zamora,-5.979,41.727,10972
2018-9,07,Castilla León,-4.397,41.835,142590
2018-9,24,León,-5.841,42.62,29190
2018-9,37,Salamanca,-6.066,40.805,22860
2018-8,34,Palencia,-4.535,42.37,9130
2018-8,40,Segovia,-4.055,41.171,6437
2018-8,07,Castilla León,-4.397,41.835,141143
2018-8,09,Burgos,-3.586,42.367,17558
2018-8,47,Valladolid,-4.847,41.634,31748
2018-8,49,Zamora,-5.979,41.727,11015
2018-8,05,Ávila,-4.946,40.571,10569
2018-8,24,León,-5.841,42.62,29154
2018-8,37,Salamanca,-6.066,40.805,22374
2018-8,42,Soria,-2.589,41.621,3158
